timestamp,si(t),a(t),mm(t),mt(t),mq(t),mr(t),r(t),cm(t),ct(t),cq(t),cr(t),em(t),et(t),q(t),zmm(t),zmt(t),zmq(t),zmr(t)
0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.00021055754250479347,9.99885175584271,7.207245350465443e-10,7.207245350465439e-10,7.207245350465422e-10,7.20724535046544e-10,9.999996040058962,1.2121185822466794e-6,1.2121185822466832e-6,1.2121185822466813e-6,1.21211858224668e-6,9.57745424910745e-7,9.577454249107463e-7,9.57745424910746e-7,0.0,0.0,0.0,0.0
2.0,0.001678088579865731,9.995473925311353,1.2397233899443795e-9,1.2397233899443816e-9,1.2397233899443805e-9,1.2397233899443805e-9,9.999993857390148,2.4241267758282924e-6,2.4241267758282966e-6,2.424126775828292e-6,2.4241267758282937e-6,3.830727412628127e-6,3.830727412628128e-6,3.830727412628127e-6,0.0,0.0,0.0,0.0
3.0,0.005603422710330964,9.990461897894793,1.7581563176667954e-9,1.7581563176667977e-9,1.7581563176667977e-9,1.758156317666797e-9,9.99999345145252,3.635593538403735e-6,3.6355935384037374e-6,3.635593538403734e-6,3.635593538403735e-6,8.616504306300804e-6,8.616504306300797e-6,8.616504306300796e-6,0.0,0.0,0.0,0.0
4.0,0.013012107055729328,9.986055664499025,2.2761077685806186e-9,2.276107768580623e-9,2.276107768580617e-9,2.2761077685806194e-9,9.999994819830114,4.846437325553814e-6,4.846437325553822e-6,4.846437325553809e-6,4.846437325553814e-6,1.5312120366120535e-5,1.531212036612055e-5,1.5312120366120498e-5,0.0,0.0,0.0,0.0
5.0,0.024585917509868802,9.987738885025818,2.7946959375926625e-9,2.7946959375926625e-9,2.794695937592657e-9,2.7946959375926554e-9,9.999997961069193,6.0570012480670215e-6,6.0570012480670215e-6,6.0570012480670055e-6,6.057001248067004e-6,2.391748796605896e-5,2.3917487966059003e-5,2.391748796605895e-5,0.0,0.0,0.0,0.0
6.0,0.04049234856794917,10.005885552500768,3.3171308522835884e-9,3.3171308522835867e-9,3.317130852283588e-9,3.317130852283586e-9,10.000002880275582,7.2685124699373895e-6,7.268512469937384e-6,7.268512469937368e-6,7.268512469937373e-6,3.4443401660517064e-5,3.4443401660517084e-5,3.444340166051707e-5,0.0,0.0,0.0,0.0
7.0,0.06028702272879105,10.056778417806226,3.849966889284002e-9,3.8499668892839926e-9,3.849966889283989e-9,3.84996688928398e-9,10.000009599680567,8.483719876580582e-6,8.483719876580575e-6,8.483719876580558e-6,8.483719876580557e-6,4.692567647796025e-5,4.692567647796024e-5,4.6925676477960144e-5,0.0,0.0,0.0,0.0
8.0,0.08293055012505304,10.16263925668143,4.40394355570157e-9,4.403943555701579e-9,4.4039435557015635e-9,4.403943555701595e-9,10.00001817540979,9.707552262994838e-6,9.707552262994833e-6,9.707552262994816e-6,9.707552262994827e-6,6.144606084476745e-5,6.144606084476744e-5,6.144606084476732e-5,0.0,0.0,0.0,0.0
9.0,0.10695120471467849,10.350430894641715,4.99606392197447e-9,4.996063921974465e-9,4.996063921974458e-9,4.99606392197447e-9,10.000028720898372,1.0947743217537644e-5,1.0947743217537637e-5,1.0947743217537617e-5,1.0947743217537627e-5,7.816016987033943e-5,7.816016987033939e-5,7.816016987033925e-5,0.0,0.0,0.0,0.0
10.0,0.13068431356391966,10.650095592247975,5.647788871337771e-9,5.6477888713377774e-9,5.647788871337759e-9,5.647788871337761e-9,10.000041432412226,1.2215220126870253e-5,1.2215220126870246e-5,1.2215220126870232e-5,1.2215220126870244e-5,9.732667185586384e-5,9.732667185586366e-5,9.732667185586364e-5,0.0,0.0,0.0,0.0
11.0,0.15257520616413472,11.09241692052339,6.389031816880602e-9,6.3890318168806e-9,6.389031816880587e-9,6.389031816880597e-9,10.000056622072323,1.3524261020141973e-5,1.3524261020141966e-5,1.3524261020141944e-5,1.352426102014196e-5,0.00011934356123615056,0.00011934356123615037,0.00011934356123615034,0.0,0.0,0.0,0.0
12.0,0.1713956932593477,11.70783150294687,7.253227249255645e-9,7.2532272492556385e-9,7.253227249255627e-9,7.253227249255636e-9,10.000074746652333,1.4892406126977789e-5,1.4892406126977779e-5,1.4892406126977763e-5,1.4892406126977775e-5,0.0001447788180645925,0.0001447788180645923,0.00014477881806459228,0.0,0.0,0.0,0.0
13.0,0.18640970406322532,12.526164639968835,8.283000045184325e-9,8.283000045184321e-9,8.283000045184323e-9,8.283000045184326e-9,10.000096442640366,1.6340153810659924e-5,1.6340153810659917e-5,1.6340153810659924e-5,1.6340153810659924e-5,0.00017440688989647996,0.00017440688989647977,0.0001744068898964796,0.0,0.0,0.0,0.0
14.0,0.1974601247175345,13.576919516161666,9.529906263293915e-9,9.529906263293903e-9,9.529906263293907e-9,9.529906263293885e-9,10.000122578427844,1.7890839873180358e-5,1.7890839873180354e-5,1.7890839873180368e-5,1.7890839873180358e-5,0.00020926442549650171,0.00020926442549650166,0.00020926442549650144,0.0,0.0,0.0,0.0
15.0,0.2048598447561102,14.892234186229798,1.1050921271173107e-8,1.1050921271173138e-8,1.1050921271173122e-8,1.1050921271173165e-8,10.000154282481555,1.95702414148615e-5,1.95702414148615e-5,1.9570241414861498e-5,1.9570241414861498e-5,0.00025067893337372055,0.00025067893337372044,0.00025067893337372033,0.0,0.0,0.0,0.0
16.0,0.20930837210016082,16.5097118173879,1.2927923086518662e-8,1.292792308651865e-8,1.2927923086518642e-8,1.2927923086518647e-8,10.000193039867131,2.1406732451445217e-5,2.1406732451445207e-5,2.1406732451445197e-5,2.1406732451445207e-5,0.00030037349488825553,0.00030037349488825526,0.0003003734948882555,0.0,0.0,0.0,0.0
